Sample	No_rec_fused_gene
BS_NQB91P48	1
BS_NQFH3GZH	1
BS_NR3P3GN2	1
BS_NR9FRY5T	1
BS_NRFQEQKP	1
BS_NS7GSHB9	1
BS_NT9NZYFD	1
BS_NVKGSMXS	1
BS_NYS8TRCB	1
BS_NZ71XCG3	1
BS_NZZWHPC7	1
BS_P0QF87WC	1
BS_P277RYX5	1
BS_P39SQPTS	1
BS_P4D8Y3S8	1
BS_P78SMRBS	1
BS_P7EY9DXG	1
BS_PEP9NZXN	1
BS_PGHK1JRW	1
BS_PJPGVD62	1
BS_PKK3BZRG	1
BS_PKW05VZV	1
BS_PN2CE34A	1
BS_PQ7CQFYR	1
BS_PQVTB6BB	1
BS_PRAEF32W	1
BS_PS0P3QJ3	1
BS_PSW27ZTE	1
BS_PXCPK5XS	1
BS_PZVHMSYN	1
BS_Q13FQ8FV	1
BS_Q1KJNHK1	1
BS_Q2T9ZRM0	1
BS_Q3TBCK4V	1
BS_Q5WZYWCT	1
BS_Q79NP5YY	1
BS_Q9V7A95C	1
BS_QB7YGKN1	1
BS_QB84TBA3	1
BS_QBA3Y1S8	1
BS_QBR4WCQ2	1
BS_QC3XCE6X	1
BS_QEYPFYHD	1
BS_QF5VVZX5	1
BS_QH82PBMB	1
BS_QHS3V0GP	1
BS_QKT3TJVK	1
BS_QNNX91SM	1
BS_QPPPGYP4	1
BS_QRDT19KS	1
BS_QTGNYWP4	1
BS_QTSXW7DA	1
BS_QV367NEX	1
BS_QV51J756	1
BS_QW60M0FE	1
BS_QWNBZ9RJ	1
BS_QWTE1CWR	1
BS_QX12J6W1	1
BS_QXKRN6CR	1
BS_QZKC6ANT	1
BS_R13X6TMW	1
BS_R244Z0WX	1
BS_R439VVPK	1
BS_R4Y180DM	1
BS_R6WNEEE4	1
BS_R7HZCZ8B	1
BS_R7NTZR4C	1
BS_R9B92M75	1
BS_RB2S0KDF	1
BS_RCC8BXVE	1
BS_RCFQ31XF	1
BS_RD4D5F9F	1
BS_RFMQ7T0T	1
BS_RGPSEMHC	1
BS_RGSMX7QD	1
BS_RHD7XPNP	1
BS_RQSKD7PN	1
BS_RR12T74P	1
BS_RRAEQZ97	1
BS_RSRPX3S8	1
BS_RVSEDNJ4	1
BS_RWJZFTP9	1
BS_RX1YTZ7F	1
BS_RXN5T5YT	1
BS_S0175QKX	1
BS_S1KK7XRH	1
BS_S1M423AB	1
BS_S2TA8R29	1
BS_S50KQEXV	1
BS_S5P8VTN5	1
BS_S69QZAJR	1
BS_S6NJRR5W	1
BS_S71RJ8DH	1
BS_SAA624A4	1
BS_SBFNFZ8B	1
BS_SD8YBRBR	1
BS_SDA4RMMG	1
BS_SDCNP7MW	1
BS_SDZY6RZ3	1
BS_SES41DAX	1
BS_SFKZSJN1	1
BS_SFRQXM76	1
BS_SHMC4902	1
BS_SHZZ99DT	1
BS_SKGJ5SY9	1
BS_SM8VQFPD	1
BS_SMKDEWCG	1
BS_SNVM7CZT	1
BS_SQX5E15Z	1
BS_SSEAT56Z	1
BS_SXCZ3CXN	1
BS_SXRS2P6T	1
BS_T0RKFEKR	1
BS_T15KAYYW	1
BS_T1DVKKJB	1
BS_T1QMEH1N	1
BS_T1W4JA94	1
BS_T1YHK6B7	1
BS_T2QPMZCM	1
BS_T3DGY9J9	1
BS_T3H5AY8A	1
BS_T46VJF9T	1
BS_T4JFN54G	1
BS_T4P3J13C	1
BS_T4ZSMX5D	1
BS_T55Y4Z0Y	1
BS_T8D5RAN4	1
BS_TA9WP4TH	1
BS_TB81YX1V	1
BS_TBWYAFSM	1
BS_TCGEZJ5F	1
BS_TDEFAPNH	1
BS_TE0GVDNG	1
BS_TG93XC55	1
BS_TGS109T3	1
BS_TGW6HC4X	1
BS_THSPSG2Z	1
BS_TM9MH0RP	1
BS_TMTV769C	1
BS_TNRHHYNC	1
BS_TQ5QHR17	1
BS_TRKH2SPE	1
BS_TXY8QYWA	1
BS_TXZ7KHTQ	1
BS_TYAYZ9ZW	1
BS_TZ5D0A7R	1
BS_TZVFR600	1
BS_V0Q1G94N	1
BS_V3REENH9	1
BS_V3Z3DB4N	1
BS_V6WWJKHS	1
BS_V72GX2AZ	1
BS_V72H4RQS	1
BS_V7BJM89K	1
BS_V89HGTET	1
BS_V9HVBBDW	1
BS_VA5T4KAA	1
BS_VAAHBH60	1
BS_VARR255N	1
BS_VBNMYPPZ	1
BS_VF5XWFXD	1
BS_VJ2S5DVS	1
BS_VJAC9H58	1
BS_VJNQ4AW8	1
BS_VJVDJABP	1
BS_VMEX27TN	1
BS_VMMJYN8Z	1
BS_VMQMGSJY	1
BS_VNE0ZPBS	1
BS_VNK9XYV9	1
BS_VNNFY4ZH	1
BS_VNWKNRY4	1
BS_VP3C8WZT	1
BS_VP5Y45Z7	1
BS_VPBMDMQX	1
BS_VPMKHW9X	1
BS_VPNXJE2S	1
BS_VR7FR1NE	1
BS_VSSDSYE8	1
BS_VTJ9ESSV	1
BS_VVFBW0YH	1
BS_VVTHDRBD	1
BS_VW85Q4XJ	1
BS_VWT5YNJY	1
BS_VXHWZJDC	1
BS_W1385R8Y	1
BS_W18SF91A	1
BS_W311713R	1
BS_W36RZSFA	1
BS_W41S7B55	1
BS_W4DB5RP1	1
BS_W4H1D4Y6	1
BS_W4HGV6E7	1
BS_W6AC5J3C	1
BS_W72364MN	1
BS_W7FP2G3F	1
BS_W7MFJZ5A	1
BS_W80TJC27	1
BS_W97QQYKQ	1
BS_W9AT0MR7	1
BS_W9N9844Q	1
BS_WCRKYV0T	1
BS_WE3Q8A73	1
BS_WFD0GE5X	1
BS_WGK8ZMVA	1
BS_WGP07RPQ	1
BS_WH5HDE0A	1
BS_WH8G4VFB	1
BS_WJGFDRWK	1
BS_WMEHNDSK	1
BS_WN90GPFR	1
BS_WRHDP7WF	1
BS_WRQHPSXQ	1
BS_WSQMAA33	1
BS_WV0S8N4M	1
BS_WVS02TZK	1
BS_WVW3W6ZB	1
BS_WYERXS4G	1
BS_WYG77VVP	1
BS_X0F9AYEC	1
BS_X0XXN9BK	1
BS_X16PENSA	1
BS_X23724NJ	1
BS_X4DD4KSZ	1
BS_X59HSFGG	1
BS_X67GTEM6	1
BS_X7J2RKVK	1
BS_X91K8KMG	1
BS_X9EGD530	1
BS_XBQZYS8G	1
BS_XF0ZX2B3	1
BS_XG0DBWVT	1
BS_XGDPK33A	1
BS_XGSA3GQE	1
BS_XHCYEE2S	1
BS_XJTW0P8P	1
BS_XKKB4MZV	1
BS_XM1AHBDJ	1
BS_XQ5SFW35	1
BS_XZ58ASB6	1
BS_XZM79E42	1
BS_XZTV0J8W	1
BS_Y08D5P8N	1
BS_Y0PCBNJV	1
BS_Y1ZP55ZK	1
BS_Y5CG43TJ	1
BS_Y7F9E2E9	1
BS_Y8D1F5WW	1
BS_Y9DR4RDQ	1
BS_YA8RBGD8	1
BS_YB2RXRHT	1
BS_YBJBSRHV	1
BS_YBZ1QNB1	1
BS_YCREDZTJ	1
BS_YDEVMD24	1
BS_YEB88D32	1
BS_YEQVW4ND	1
BS_YETBN0RQ	1
BS_YEW22W35	1
BS_YG0A13JH	1
BS_YGK1NMGA	1
